step,loss,reward_mean,pass_rate,advantage_std
1,-0.0010162591934204102,0.27531251311302185,0.0,0.9999999403953552
2,0.003365933895111084,0.2459374964237213,0.0,1.0
3,0.0052453018724918365,0.3421875238418579,0.125,1.0
4,-0.0016604382544755936,0.5043749809265137,0.375,0.9999997615814209
5,-0.041035525500774384,0.15156249701976776,0.0,1.0
6,0.027718493714928627,0.5087500214576721,0.375,1.0
7,-0.0001413300633430481,0.2409375011920929,0.0,0.9999998807907104
8,0.00142669677734375,0.2006250023841858,0.0,0.5
9,0.0013380534946918488,0.5240625143051147,0.375,1.0
10,-0.015680987387895584,0.3009374737739563,0.125,0.9999999403953552
11,-0.01063467562198639,0.6262500286102295,0.5,0.5
12,-0.01867339201271534,0.2265625,0.0,1.0000001192092896
13,-0.0057560354471206665,0.5306249856948853,0.375,1.0
14,-0.016454482451081276,0.3531249761581421,0.125,1.0
15,-0.005073603242635727,0.9009374976158142,0.875,0.5
16,0.025787726044654846,0.43531250953674316,0.25,0.9999998807907104
17,-0.02757524698972702,0.5409375429153442,0.375,1.0
18,-0.04973163828253746,0.47093749046325684,0.375,1.0
19,0.009548231959342957,0.5303125381469727,0.375,0.9999999403953552
20,-0.0023373477160930634,0.2784374952316284,0.0,1.0
21,-0.02086769789457321,0.46687498688697815,0.25,1.0
22,-0.04106352850794792,0.2006250023841858,0.0,1.0
23,0.015564866364002228,0.3162499964237213,0.125,1.0
24,-0.02531060017645359,0.25968748331069946,0.0,0.9999998211860657
25,-0.011595971882343292,0.33531251549720764,0.125,1.0
26,-0.02174840308725834,0.5699999928474426,0.5,0.9999999403953552
27,-0.010240964591503143,0.4899999797344208,0.375,0.5
28,-0.030853936448693275,0.31937500834465027,0.125,0.5
29,-0.027437441051006317,0.6456249952316284,0.5,0.9999999403953552
30,0.04919416457414627,0.3515625,0.125,1.0
31,-0.026333492249250412,0.3321875035762787,0.125,1.0
32,0.022813227027654648,0.20156249403953552,0.0,1.0
33,0.012422360479831696,0.36374998092651367,0.125,1.0000001192092896
34,-0.021210940554738045,0.4112499952316284,0.25,1.0
35,-0.028645897284150124,0.3687500059604645,0.125,0.9999997615814209
36,-0.011445865035057068,0.24281251430511475,0.0,1.0
37,0.02164738066494465,0.5462499856948853,0.375,1.0
38,-0.026677580550312996,0.6243749856948853,0.5,0.9999998807907104
39,0.06053369119763374,0.421875,0.25,1.0
40,-0.023095887154340744,0.3296875059604645,0.125,1.0
41,-0.03236307576298714,0.27281248569488525,0.0,0.9999999403953552
42,-0.011956803500652313,0.6065624952316284,0.5,0.5
43,-0.01577862724661827,0.5193749666213989,0.375,0.9999999403953552
44,0.0019423644989728928,0.23656250536441803,0.0,1.0000001192092896
45,-0.003535754978656769,0.27562499046325684,0.0,1.0
46,0.0057459622621536255,0.6449999809265137,0.5,0.5
47,-0.0521470308303833,0.6071875095367432,0.5,1.0
48,-0.03838483989238739,0.3021875023841858,0.125,0.4999999701976776
49,-0.018640775233507156,0.3037499785423279,0.125,0.9999998807907104
50,-0.03861842304468155,0.2121874988079071,0.0,1.0
51,-0.0580652579665184,0.42624998092651367,0.25,1.0
52,-0.002956649288535118,0.800000011920929,0.75,0.5
53,0.03726746141910553,0.5174999833106995,0.375,1.0
54,0.05541794002056122,0.20406249165534973,0.0,1.0
55,0.07442203909158707,0.17874999344348907,0.0,1.0
