step,loss,reward_mean,pass_rate,advantage_std
1,-0.029800446704030037,0.43281248211860657,0.25,1.0
2,-0.008565343916416168,0.2018750011920929,0.0,0.5
3,0.007243702188134193,0.2693749964237213,0.0,1.0
4,-0.05150633677840233,0.3434374928474426,0.125,1.0
5,0.012525040656328201,0.3228124976158142,0.125,0.9999999403953552
6,0.055676691234111786,0.2175000011920929,0.0,1.0
7,-0.016701022163033485,0.41718751192092896,0.25,1.0
8,0.001150514930486679,0.4168750047683716,0.25,0.9999999403953552
9,-0.042741358280181885,0.5003125071525574,0.375,1.0
10,-0.01690206304192543,0.3371874988079071,0.125,0.4999999403953552
11,-0.031284600496292114,0.1990624964237213,0.0,1.0
12,-0.008186844177544117,0.8537499904632568,0.75,0.5
13,-0.014832168817520142,0.4321874976158142,0.25,0.5
14,0.01917845383286476,0.7421875,0.625,0.5
15,-0.023307600989937782,0.8359375,0.75,1.0
16,-0.050871383398771286,0.34937500953674316,0.125,0.9999999403953552
17,0.03507339581847191,0.20656248927116394,0.0,0.9999997615814209
18,-0.061778824776411057,0.5862500071525574,0.375,1.0
19,0.004821706563234329,0.20937499403953552,0.0,1.0
20,-0.00045739486813545227,0.3824999928474426,0.125,0.9999999403953552
21,-0.014056030660867691,0.3243749737739563,0.0,1.0
22,0.011424262076616287,0.3384374976158142,0.125,1.0
23,-0.03361576795578003,0.2565625011920929,0.125,0.9999999403953552
24,-0.02100987918674946,0.43531250953674316,0.25,1.0
25,-0.03524758294224739,0.6000000238418579,0.5,1.0
26,-0.0,0.6000000238418579,0.5,0.0
27,0.02763887494802475,0.25687500834465027,0.0,1.0
28,-0.03705234453082085,0.2318750023841858,0.0,0.9999998211860657
29,-0.009869895875453949,0.3253124952316284,0.125,0.9999998807907104
30,-0.0001884251832962036,0.42875000834465027,0.25,1.0
31,-0.027734894305467606,0.6021875143051147,0.5,1.0
32,-0.0028908327221870422,0.6081249713897705,0.5,0.5
33,-0.0027557145804166794,0.526562511920929,0.375,1.0
34,-0.0051636043936014175,0.22968751192092896,0.0,0.5
35,-0.011090181767940521,0.6037499904632568,0.5,1.0
36,-0.05528407171368599,0.5049999952316284,0.375,1.0
